模型名,源,大小,厂牌,种类,备注
Qwen3-VL-8B-Instruct-Eagle3,Qwen3-VL-8B-Instruct,8B,Qwen,多模态模型,Instruct
VibeThinker-1.5B-MNN,VibeThinker-1.5B,1.5B,weiboAI,,coding
MiniMind2-MNN,MiniMind2,25.8M,jingyaogong,,
Qwen3-4B-Thinking-2507-Eagle,Qwen3-4B-Thinking-2507,4B,Qwen,,thinking
Qwen3-VL-4B-Thinking-Eagle3,Qwen3-VL-4B-Thinking,,,,
Qwen3-VL-2B-Thinking-Eagle3-MNN,Qwen3-VL-2B-Thinking-Eagle3,,,,
Qwen3-VL-4B-Instruct-Eagle3-MNN,Qwen3-VL-4B-Instruct-Eagle3,,,,
Qwen3-VL-2B-Thinking-Eagle3,Qwen3-VL-2B-Thinking,,,,
Qwen3-VL-4B-Instruct-Eagle3,Qwen3-VL-4B-Instruct,,,,
Qwen3-VL-2B-Instruct-MNN,Qwen3-VL-2B-Instruct,2B,Qwen,多模态模型,Instruct
Qwen3-VL-2B-Instruct-Eagle3-MNN,Qwen3-VL-2B-Instruct-Eagle3,,,,
Qwen3-VL-2B-Instruct-Eagle3,Qwen3-VL-2B-Instruct,,,,
Qwen3-4B-Instruct-2507-Eagle3-MNN,Qwen3-4B-Instruct-2507-Eagle3,,,,
Qwen3-4B-Instruct-2507-Eagle3,Qwen3-4B-Instruct-2507,,,,
Qwen3-VL-32B-Instruct-MNN,Qwen3-VL-32B-Instruct,32B,Qwen,多模态模型,Instruct
Qwen3-VL-32B-Thinking-MNN,Qwen3-VL-32B-Thinking,32B,Qwen,多模态模型,thinking
Qwen3-VL-2B-Thinking-MNN,Qwen3-VL-2B-Thinking,2B,Qwen,多模态模型,thinking
Meta-Llama-3.1-8B-Instruct-Eagle3-MNN,Meta-Llama-3.1-8B-Instruct,,,,
qnn_arm64_libs,qnn_arm64_,,,,
SmolVLM2-256M-Video-Instruct-NPU,SmolVLM2-256M-Video-Instruct,256M,HuggingFaceTB,多模态模型,video
Qwen3-VL-4B-Instruct-MNN,Qwen3-VL-4B-Instruct,4B,Qwen,多模态模型,Instruct
Qwen3-VL-8B-Instruct-MNN,Qwen3-VL-8B-Instruct,8B,Qwen,多模态模型,instruct
Qwen3-VL-8B-Thinking-MNN,Qwen3-VL-8B-Thinking,8B,Qwen,多模态模型,thinking
Qwen3-VL-4B-Thinking-MNN,Qwen3-VL-4B-Thinking,4B,Qwen,多模态模型,thinking
Qwen3-VL-30B-A3B-Instruct-MNN,Qwen3-VL-30B-A3B-Instruct,30B + 3B Active,Qwen,多模态模型,instruct
Qwen3-VL-30B-A3B-Thinking-MNN,Qwen3-VL-30B-A3B-Thinking,30B+3B Active,Qwen,多模态模型,thinking
Qwen3-Embedding-8B-MNN,Qwen3-Embedding-8B,8B,Qwen,,text embedding + ranking tasks
Qwen3-Embedding-4B-MNN,Qwen3-Embedding-4B,4B,Qwen,,text embedding + ranking tasks
Qwen3-Embedding-0.6B-MNN,Qwen3-Embedding-0.6B,0.6B,Qwen,,text embedding + ranking tasks
Qwen3Guard-Stream-8B-MNN,Qwen3Guard-Stream-8B,8B,Qwen,,safety moderation
Qwen3Guard-Stream-4B-MNN,Qwen3Guard-Stream-4B,4B,Qwen,,safety moderation
Qwen3Guard-Stream-0.6B-MNN,Qwen3Guard-Stream-0.6B,0.6B,Qwen,,safety moderation
Qwen3Guard-Gen-8B-MNN,Qwen3Guard-Gen-8B,8B,Qwen,,safety moderation
Qwen3Guard-Gen-4B-MNN,Qwen3Guard-Gen-4B,4B,Qwen,,safety moderation
Qwen3Guard-Gen-0.6B-MNN,Qwen3Guard-Gen-0.6B,0.6B,Qwen,,safety moderation
Qwen3-4B-SafeRL-MNN,Qwen3-4B-SafeRL,4B,Qwen,,safety moderation
Hunyuan-MT-7B-MNN,Hunyuan-MT-7B,7B,腾讯混元,,translation
Qwen2.5-Omni-3B-MNN,Qwen2.5-Omni-3B,3B,Qwen,多模态模型,
gemma-3-270m-it-MNN,gemma-3-270m-it,270M,Google,多模态模型,
MiniCPM-V-4-MNN,MiniCPM-V-4,4.1B,OpenBMB,多模态模型,
WebSailor-3B-MNN,WebSailor-3B,3B,通义实验室,,reasoning for complex web navigation and information-seeking tasks.
Lingshu-7B-MNN,Lingshu-7B,7B,lingshu-medical-mllm,多模态模型,医疗VQA报告生成
MiniCPM4-8B-MNN,MiniCPM4-8B,8B,OpenBMB,,
MiniCPM4-0.5B-MNN,MiniCPM4-0.5B,0.5B,OpenBMB,,
gpt-oss-20b-MNN,gpt-oss-20b,21B parameters with 3.6B active parameters,OpenAI,,
Qwen3-4B-Thinking-2507-MNN,Qwen3-4B-Thinking-2507,4B,Qwen,,thinking
Qwen3-4B-Instruct-2507-MNN,Qwen3-4B-Instruct-2507,4B,Qwen,,instruct
