prompt_length,mean_value,std_value,cv_value,model_name
1024,51.71,0.01,0.019338619222587505,hunyuan_05b
1024,51.74,0.01,0.019327406262079627,hunyuan_05b
1024,51.67,0.02,0.03870718018192375,hunyuan_05b
1024,51.7,0.02,0.03868471953578336,hunyuan_05b
1024,51.71,0.01,0.019338619222587505,hunyuan_05b
1024,51.73,0.01,0.019331142470520007,hunyuan_05b
1024,51.7,0.03,0.058027079303675046,hunyuan_05b
1024,51.75,0.01,0.01932367149758454,hunyuan_05b
1024,47.08,0.02,0.04248088360237893,qwen3_06b
1024,47.14,0.09,0.19092066185829443,qwen3_06b
1024,47.08,0.01,0.021240441801189464,qwen3_06b
1024,47.07,0.01,0.021244954323348206,qwen3_06b
1024,47.07,0.02,0.04248990864669641,qwen3_06b
1024,47.06,0.03,0.06374840628984274,qwen3_06b
1024,47.09,0.02,0.04247186239116585,qwen3_06b
1024,47.09,0.03,0.06370779358674877,qwen3_06b
128,72.29,0.02,0.027666343892654585,hunyuan_05b
128,72.31,0.01,0.013829345871940258,hunyuan_05b
128,72.31,0.03,0.04148803761582077,hunyuan_05b
128,72.25,0.03,0.04152249134948097,hunyuan_05b
128,72.28,0.02,0.02767017155506364,hunyuan_05b
128,72.04,0.01,0.013881177123820098,hunyuan_05b
128,72.27,0.04,0.05534800055348001,hunyuan_05b
128,72.29,0.01,0.013833171946327293,hunyuan_05b
128,67.34,0.02,0.029700029700029697,qwen3_06b
128,67.34,0.02,0.029700029700029697,qwen3_06b
128,67.35,0.02,0.029695619896065333,qwen3_06b
128,67.35,0.01,0.014847809948032666,qwen3_06b
128,67.34,0.03,0.04455004455004454,qwen3_06b
128,67.35,0.02,0.029695619896065333,qwen3_06b
128,67.3,0.03,0.04457652303120357,qwen3_06b
128,67.34,0.01,0.014850014850014848,qwen3_06b
192,70.43,0.02,0.028396989919068576,hunyuan_05b
192,70.48,0.01,0.014188422247446084,hunyuan_05b
192,70.46,0.03,0.04257734885041158,hunyuan_05b
192,70.44,0.01,0.014196479273140262,hunyuan_05b
192,70.45,0.04,0.05677785663591199,hunyuan_05b
192,70.47,0.02,0.02838087129274869,hunyuan_05b
192,70.47,0.02,0.02838087129274869,hunyuan_05b
192,70.44,0.02,0.028392958546280524,hunyuan_05b
192,65.5,0.06,0.0916030534351145,qwen3_06b
192,65.54,0.0,0.0,qwen3_06b
192,65.53,0.04,0.0610407446970853,qwen3_06b
192,65.56,0.02,0.03050640634533252,qwen3_06b
