model_name,base_parameters,result_type,result_parameter,mean_value,std_value,cv_value,suite_name,threads,n_prompt,n_gen
hunyuan_05b_1t,"{""n_prompt"": 192, ""n_gen"": 64}",pp,192,98.49,0.59,0.5990455883846075,pn_grid_t1,1,192,64
hunyuan_05b_1t,"{""n_prompt"": 192, ""n_gen"": 128}",pp,192,98.29,0.5,0.5086987486010784,pn_grid_t1,1,192,128
hunyuan_05b_1t,"{""n_prompt"": 192, ""n_gen"": 64}",pp,192,98.81,0.07,0.0708430320817731,pn_grid_t1,1,192,64
hunyuan_05b_1t,"{""n_prompt"": 384, ""n_gen"": 64}",pp,384,92.49,0.23,0.24867553248999896,pn_grid_t1,1,384,64
hunyuan_05b_1t,"{""n_prompt"": 384, ""n_gen"": 128}",pp,384,92.68,0.13,0.14026758739749676,pn_grid_t1,1,384,128
hunyuan_05b_1t,"{""n_prompt"": 512, ""n_gen"": 64}",pp,512,86.32,0.11,0.12743280815569974,pn_grid_t1,1,512,64
hunyuan_05b_1t,"{""n_prompt"": 512, ""n_gen"": 128}",pp,512,86.4,0.09,0.10416666666666667,pn_grid_t1,1,512,128
hunyuan_05b_1t,"{""n_prompt"": 192, ""n_gen"": 128}",tg,128,24.89,0.34,1.366010445962234,pn_grid_t1,1,192,128
hunyuan_05b_1t,"{""n_prompt"": 384, ""n_gen"": 128}",tg,128,24.96,0.36,1.4423076923076923,pn_grid_t1,1,384,128
hunyuan_05b_1t,"{""n_prompt"": 512, ""n_gen"": 128}",tg,128,25.58,0.08,0.31274433150899145,pn_grid_t1,1,512,128
hunyuan_05b_1t,"{""n_prompt"": 192, ""n_gen"": 64}",tg,64,25.52,0.39,1.5282131661442007,pn_grid_t1,1,192,64
hunyuan_05b_1t,"{""n_prompt"": 384, ""n_gen"": 64}",tg,64,25.14,0.57,2.267303102625298,pn_grid_t1,1,384,64
hunyuan_05b_1t,"{""n_prompt"": 512, ""n_gen"": 64}",tg,64,26.03,0.01,0.0384172109104879,pn_grid_t1,1,512,64
