suite_name,model_name,base_parameters,result_type,result_parameter,mean_value,std_value,cv_value,dynamicoption,n_prompt,n_gen
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 1024, ""n_gen"": 32}",pp,1024,68.61,0.02,0.029150269639994168,7,1024,32
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 1024, ""n_gen"": 64}",pp,1024,68.71,0.05,0.07276961141027508,7,1024,64
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 1024, ""n_gen"": 96}",pp,1024,68.62,0.03,0.043719032352083936,7,1024,96
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 1024, ""n_gen"": 128}",pp,1024,68.7,0.03,0.043668122270742356,7,1024,128
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 1024, ""n_gen"": 32}",pp,1024,68.72,0.02,0.02910360884749709,8,1024,32
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 1024, ""n_gen"": 64}",pp,1024,68.71,0.06,0.08732353369233009,8,1024,64
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 1024, ""n_gen"": 96}",pp,1024,68.8,0.04,0.05813953488372093,8,1024,96
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 1024, ""n_gen"": 128}",pp,1024,68.72,0.03,0.043655413271245634,8,1024,128
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 128, ""n_gen"": 32}",pp,128,84.94,0.08,0.09418412997409936,7,128,32
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 128, ""n_gen"": 64}",pp,128,85.01,0.11,0.12939654158334313,7,128,64
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 128, ""n_gen"": 96}",pp,128,85.0,0.11,0.12941176470588237,7,128,96
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 128, ""n_gen"": 128}",pp,128,85.04,0.1,0.11759172154280338,7,128,128
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 128, ""n_gen"": 32}",pp,128,85.08,0.1,0.11753643629525154,8,128,32
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 128, ""n_gen"": 64}",pp,128,85.01,0.08,0.09410657569697682,8,128,64
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 128, ""n_gen"": 96}",pp,128,85.01,0.09,0.10586989765909892,8,128,96
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 128, ""n_gen"": 128}",pp,128,85.02,0.11,0.12938132204187253,8,128,128
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 192, ""n_gen"": 32}",pp,192,91.93,0.1,0.10877841836179702,7,192,32
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 192, ""n_gen"": 64}",pp,192,91.92,0.11,0.1196692776327241,7,192,64
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 192, ""n_gen"": 96}",pp,192,91.93,0.11,0.11965626019797672,7,192,96
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 192, ""n_gen"": 128}",pp,192,91.94,0.11,0.11964324559495323,7,192,128
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 192, ""n_gen"": 32}",pp,192,91.94,0.13,0.14139656297585382,8,192,32
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 192, ""n_gen"": 64}",pp,192,91.94,0.12,0.13051990428540353,8,192,64
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 192, ""n_gen"": 96}",pp,192,91.96,0.07,0.07612005219660724,8,192,96
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 192, ""n_gen"": 128}",pp,192,91.86,0.1,0.10886131069018071,8,192,128
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 256, ""n_gen"": 32}",pp,256,83.11,0.08,0.09625797136325352,7,256,32
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 256, ""n_gen"": 64}",pp,256,83.1,0.09,0.10830324909747292,7,256,64
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 256, ""n_gen"": 96}",pp,256,83.12,0.1,0.1203079884504331,7,256,96
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 256, ""n_gen"": 128}",pp,256,83.11,0.08,0.09625797136325352,7,256,128
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 256, ""n_gen"": 32}",pp,256,83.11,0.09,0.10829021778366021,8,256,32
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 256, ""n_gen"": 64}",pp,256,83.11,0.09,0.10829021778366021,8,256,64
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 256, ""n_gen"": 96}",pp,256,83.06,0.09,0.10835540573079701,8,256,96
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 256, ""n_gen"": 128}",pp,256,83.09,0.09,0.10831628354796004,8,256,128
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 320, ""n_gen"": 32}",pp,320,85.98,0.12,0.13956734124214934,7,320,32
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 320, ""n_gen"": 64}",pp,320,85.98,0.1,0.11630611770179111,7,320,64
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 320, ""n_gen"": 96}",pp,320,86.01,0.13,0.1511452156725962,7,320,96
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 320, ""n_gen"": 128}",pp,320,85.99,0.1,0.1162925921618793,7,320,128
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 320, ""n_gen"": 32}",pp,320,85.96,0.13,0.15123313168915775,8,320,32
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 320, ""n_gen"": 64}",pp,320,85.89,0.08,0.0931423914309,8,320,64
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 320, ""n_gen"": 96}",pp,320,85.99,0.11,0.12792185137806722,8,320,96
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 320, ""n_gen"": 128}",pp,320,85.92,0.09,0.10474860335195531,8,320,128
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 384, ""n_gen"": 32}",pp,384,87.47,0.13,0.14862238481765178,7,384,32
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 384, ""n_gen"": 64}",pp,384,87.34,0.15,0.1717426150675521,7,384,64
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 384, ""n_gen"": 96}",pp,384,87.42,0.14,0.1601464195836193,7,384,96
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 384, ""n_gen"": 128}",pp,384,87.41,0.19,0.2173664340464478,7,384,128
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 384, ""n_gen"": 32}",pp,384,87.35,0.09,0.1030337721808815,8,384,32
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 384, ""n_gen"": 64}",pp,384,87.39,0.11,0.125872525460579,8,384,64
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 384, ""n_gen"": 96}",pp,384,87.35,0.17,0.1946193474527762,8,384,96
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 8, ""n_prompt"": 384, ""n_gen"": 128}",pp,384,87.36,0.11,0.1259157509157509,8,384,128
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 448, ""n_gen"": 32}",pp,448,81.36,0.09,0.11061946902654868,7,448,32
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 448, ""n_gen"": 64}",pp,448,81.36,0.09,0.11061946902654868,7,448,64
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 448, ""n_gen"": 96}",pp,448,81.41,0.09,0.11055152929615526,7,448,96
pn_sweep_step-p64-n32_n32_dyo78,qwen2_5_0_5b,"{""dynamicOption"": 7, ""n_prompt"": 448, ""n_gen"": 128}",pp,448,81.39,0.08,0.09829217348568621,7,448,128
