suite_name,model_name,base_parameters,result_type,result_parameter,mean_value,std_value,cv_value,mmap,n_prompt,n_gen
pn_sweep_step-p64-n32_mmp01,qwen2_5_0_5b,"{""mmap"": 0, ""n_prompt"": 1024, ""n_gen"": 32}",pp,1024,68.75,0.06,0.08727272727272728,0,1024,32
pn_sweep_step-p64-n32_mmp01,qwen2_5_0_5b,"{""mmap"": 0, ""n_prompt"": 1024, ""n_gen"": 64}",pp,1024,68.66,0.01,0.014564520827264785,0,1024,64
pn_sweep_step-p64-n32_mmp01,qwen2_5_0_5b,"{""mmap"": 0, ""n_prompt"": 1024, ""n_gen"": 96}",pp,1024,68.73,0.06,0.08729812309035355,0,1024,96
pn_sweep_step-p64-n32_mmp01,qwen2_5_0_5b,"{""mmap"": 0, ""n_prompt"": 1024, ""n_gen"": 128}",pp,1024,68.75,0.04,0.05818181818181818,0,1024,128
pn_sweep_step-p64-n32_mmp01,qwen2_5_0_5b,"{""mmap"": 1, ""n_prompt"": 1024, ""n_gen"": 32}",pp,1024,68.79,0.06,0.08722197993894461,1,1024,32
pn_sweep_step-p64-n32_mmp01,qwen2_5_0_5b,"{""mmap"": 1, ""n_prompt"": 1024, ""n_gen"": 64}",pp,1024,68.78,0.06,0.08723466123873218,1,1024,64
pn_sweep_step-p64-n32_mmp01,qwen2_5_0_5b,"{""mmap"": 1, ""n_prompt"": 1024, ""n_gen"": 96}",pp,1024,68.7,0.06,0.08733624454148471,1,1024,96
pn_sweep_step-p64-n32_mmp01,qwen2_5_0_5b,"{""mmap"": 1, ""n_prompt"": 1024, ""n_gen"": 128}",pp,1024,68.75,0.09,0.13090909090909092,1,1024,128
pn_sweep_step-p64-n32_mmp01,qwen2_5_0_5b,"{""mmap"": 0, ""n_prompt"": 128, ""n_gen"": 32}",pp,128,85.06,0.1,0.11756407241946862,0,128,32
pn_sweep_step-p64-n32_mmp01,qwen2_5_0_5b,"{""mmap"": 0, ""n_prompt"": 128, ""n_gen"": 64}",pp,128,84.97,0.09,0.10591973637754501,0,128,64
pn_sweep_step-p64-n32_mmp01,qwen2_5_0_5b,"{""mmap"": 0, ""n_prompt"": 128, ""n_gen"": 96}",pp,128,84.96,0.09,0.1059322033898305,0,128,96
pn_sweep_step-p64-n32_mmp01,qwen2_5_0_5b,"{""mmap"": 0, ""n_prompt"": 128, ""n_gen"": 128}",pp,128,84.99,0.09,0.10589481115425345,0,128,128
