prompt_length,mean_value,std_value,cv_value,model_name
1024,32.01,0.01,0.03124023742580444,llama_3_2_1b
1024,32.04,0.02,0.062421972534332085,llama_3_2_1b
1024,32.03,0.01,0.031220730565095226,llama_3_2_1b
1024,32.04,0.02,0.062421972534332085,llama_3_2_1b
1024,68.72,0.06,0.08731082654249127,qwen2_5_0_5b
1024,68.62,0.02,0.029146021568055958,qwen2_5_0_5b
1024,68.75,0.04,0.05818181818181818,qwen2_5_0_5b
1024,68.7,0.03,0.043668122270742356,qwen2_5_0_5b
1024,134.97,0.12,0.08890864636585907,smolvlm2_256m
1024,134.92,0.15,0.11117699377408835,smolvlm2_256m
1024,134.95,0.13,0.09633197480548353,smolvlm2_256m
1024,135.14,0.08,0.05919786887672045,smolvlm2_256m
128,35.16,0.01,0.028441410693970423,llama_3_2_1b
128,35.14,0.01,0.028457598178713718,llama_3_2_1b
128,35.02,0.01,0.028555111364934323,llama_3_2_1b
128,35.14,0.01,0.028457598178713718,llama_3_2_1b
128,84.98,0.1,0.11767474699929395,qwen2_5_0_5b
128,85.01,0.1,0.11763321962122103,qwen2_5_0_5b
128,85.03,0.09,0.1058449958838057,qwen2_5_0_5b
128,84.99,0.09,0.10589481115425345,qwen2_5_0_5b
128,214.82,0.13,0.06051578065357044,smolvlm2_256m
128,214.81,0.13,0.060518597830641035,smolvlm2_256m
128,214.9,0.08,0.03722661703117729,smolvlm2_256m
128,214.78,0.17,0.0791507589161002,smolvlm2_256m
192,38.47,0.0,0.0,llama_3_2_1b
192,38.42,0.01,0.026028110359187923,llama_3_2_1b
192,38.45,0.0,0.0,llama_3_2_1b
192,38.43,0.0,0.0,llama_3_2_1b
192,91.9,0.11,0.11969532100108812,qwen2_5_0_5b
192,91.9,0.11,0.11969532100108812,qwen2_5_0_5b
192,91.83,0.1,0.10889687465969727,qwen2_5_0_5b
192,91.85,0.11,0.11976047904191617,qwen2_5_0_5b
192,227.97,0.13,0.05702504715532746,smolvlm2_256m
192,227.75,0.06,0.02634467618002195,smolvlm2_256m
192,227.36,0.2,0.08796622097114708,smolvlm2_256m
192,227.74,0.18,0.07903749890225695,smolvlm2_256m
256,34.54,0.01,0.028951939779965262,llama_3_2_1b
256,34.4,0.01,0.029069767441860465,llama_3_2_1b
256,34.52,0.01,0.028968713789107762,llama_3_2_1b
256,34.54,0.0,0.0,llama_3_2_1b
256,83.09,0.07,0.08424599831508003,qwen2_5_0_5b
256,83.05,0.09,0.10836845273931367,qwen2_5_0_5b
256,83.1,0.09,0.10830324909747292,qwen2_5_0_5b
256,83.06,0.09,0.10835540573079701,qwen2_5_0_5b
256,204.72,0.11,0.053731926533802266,smolvlm2_256m
256,204.72,0.14,0.06838608831574834,smolvlm2_256m
256,204.5,0.09,0.04400977995110024,smolvlm2_256m
256,204.69,0.07,0.034198055596267526,smolvlm2_256m
320,36.29,0.04,0.11022320198401765,llama_3_2_1b
320,36.32,0.03,0.08259911894273127,llama_3_2_1b
320,36.3,0.03,0.08264462809917356,llama_3_2_1b
320,36.34,0.03,0.08255365987892128,llama_3_2_1b
320,85.95,0.1,0.11634671320535195,qwen2_5_0_5b
320,85.97,0.11,0.12795161102710248,qwen2_5_0_5b
320,85.95,0.12,0.13961605584642234,qwen2_5_0_5b
320,85.97,0.11,0.12795161102710248,qwen2_5_0_5b
320,204.25,0.3,0.14687882496940025,smolvlm2_256m
320,204.12,0.26,0.12737605330197924,smolvlm2_256m
320,203.92,0.21,0.10298156139662615,smolvlm2_256m
320,204.31,0.19,0.09299593754588616,smolvlm2_256m
384,37.45,0.04,0.1068090787716956,llama_3_2_1b
384,37.45,0.03,0.08010680907877168,llama_3_2_1b
384,37.43,0.03,0.08014961261020571,llama_3_2_1b
384,37.43,0.03,0.08014961261020571,llama_3_2_1b
