prompt_length,mean_value,std_value,cv_value,model_name
128,15.29,0.14,0.9156311314584697,llama_3_2_1b
128,15.43,0.01,0.06480881399870382,llama_3_2_1b
128,15.46,0.01,0.0646830530401035,llama_3_2_1b
128,15.28,0.01,0.06544502617801047,llama_3_2_1b
128,15.32,0.01,0.06527415143603134,llama_3_2_1b
128,15.43,0.01,0.06480881399870382,llama_3_2_1b
128,15.42,0.01,0.06485084306095978,llama_3_2_1b
128,15.44,0.01,0.06476683937823835,llama_3_2_1b
128,15.45,0.01,0.06472491909385113,llama_3_2_1b
128,15.46,0.01,0.0646830530401035,llama_3_2_1b
128,15.41,0.06,0.3893575600259572,llama_3_2_1b
128,15.43,0.01,0.06480881399870382,llama_3_2_1b
128,15.45,0.01,0.06472491909385113,llama_3_2_1b
128,15.44,0.01,0.06476683937823835,llama_3_2_1b
128,15.34,0.03,0.1955671447196871,llama_3_2_1b
128,15.39,0.01,0.0649772579597141,llama_3_2_1b
128,27.79,0.03,0.10795250089960418,qwen2_5_0_5b
128,27.8,0.02,0.07194244604316546,qwen2_5_0_5b
128,27.68,0.04,0.14450867052023122,qwen2_5_0_5b
128,27.82,0.04,0.14378145219266716,qwen2_5_0_5b
128,27.69,0.03,0.10834236186348861,qwen2_5_0_5b
128,27.69,0.04,0.1444564824846515,qwen2_5_0_5b
128,27.71,0.05,0.18044027426921688,qwen2_5_0_5b
128,27.83,0.01,0.035932446999640676,qwen2_5_0_5b
128,27.76,0.03,0.10806916426512966,qwen2_5_0_5b
128,27.68,0.01,0.036127167630057806,qwen2_5_0_5b
128,27.7,0.01,0.03610108303249098,qwen2_5_0_5b
128,27.79,0.02,0.07196833393306945,qwen2_5_0_5b
128,27.77,0.04,0.14404033129276198,qwen2_5_0_5b
128,27.79,0.02,0.07196833393306945,qwen2_5_0_5b
128,27.75,0.01,0.036036036036036036,qwen2_5_0_5b
128,27.78,0.03,0.10799136069114469,qwen2_5_0_5b
128,41.31,0.02,0.04841442749939482,smolvlm2_256m
128,41.65,0.17,0.40816326530612246,smolvlm2_256m
128,41.66,0.1,0.24003840614498323,smolvlm2_256m
128,41.93,0.07,0.16694490818030053,smolvlm2_256m
128,41.43,0.25,0.6034274680183441,smolvlm2_256m
128,41.1,0.01,0.024330900243309,smolvlm2_256m
128,41.85,0.01,0.02389486260454002,smolvlm2_256m
128,41.33,0.13,0.31454149528187764,smolvlm2_256m
128,41.24,0.18,0.4364694471387003,smolvlm2_256m
128,41.54,0.03,0.07221954742416947,smolvlm2_256m
128,41.63,0.09,0.21619024741772758,smolvlm2_256m
128,41.39,0.08,0.19328340178787146,smolvlm2_256m
128,42.06,0.09,0.21398002853067044,smolvlm2_256m
128,41.72,0.08,0.19175455417066156,smolvlm2_256m
128,41.81,0.07,0.16742406122937098,smolvlm2_256m
128,40.85,0.13,0.3182374541003672,smolvlm2_256m
32,15.63,0.0,0.0,llama_3_2_1b
32,15.46,0.03,0.19404915912031045,llama_3_2_1b
32,15.63,0.03,0.19193857965451055,llama_3_2_1b
32,15.61,0.01,0.06406149903907753,llama_3_2_1b
32,15.54,0.02,0.12870012870012873,llama_3_2_1b
32,15.61,0.02,0.12812299807815505,llama_3_2_1b
32,15.61,0.02,0.12812299807815505,llama_3_2_1b
32,15.59,0.01,0.06414368184733804,llama_3_2_1b
32,15.6,0.01,0.0641025641025641,llama_3_2_1b
32,15.57,0.01,0.06422607578676942,llama_3_2_1b
32,15.62,0.01,0.06402048655569784,llama_3_2_1b
32,15.46,0.01,0.0646830530401035,llama_3_2_1b
32,15.59,0.01,0.06414368184733804,llama_3_2_1b
32,15.59,0.01,0.06414368184733804,llama_3_2_1b
32,15.57,0.01,0.06422607578676942,llama_3_2_1b
32,15.31,0.01,0.06531678641410843,llama_3_2_1b
32,28.22,0.05,0.17717930545712263,qwen2_5_0_5b
32,28.35,0.05,0.1763668430335097,qwen2_5_0_5b
32,28.23,0.02,0.07084661707403471,qwen2_5_0_5b
32,28.32,0.04,0.14124293785310735,qwen2_5_0_5b
32,28.18,0.04,0.14194464158977999,qwen2_5_0_5b
32,28.16,0.1,0.3551136363636364,qwen2_5_0_5b
32,28.27,0.04,0.14149274849663954,qwen2_5_0_5b
32,28.19,0.03,0.1064207165661582,qwen2_5_0_5b
32,28.16,0.02,0.07102272727272728,qwen2_5_0_5b
32,28.18,0.03,0.10645848119233499,qwen2_5_0_5b
32,28.27,0.02,0.07074637424831977,qwen2_5_0_5b
32,28.12,0.03,0.10668563300142246,qwen2_5_0_5b
32,27.75,0.08,0.2882882882882883,qwen2_5_0_5b
32,28.13,0.02,0.07109847138286528,qwen2_5_0_5b
32,28.27,0.03,0.10611956137247965,qwen2_5_0_5b
32,28.26,0.03,0.10615711252653928,qwen2_5_0_5b
