model,threads,n_prompt,n_gen,prefill_tps,prefill_var,decode_tps,decode_var,load_time,load_var,prefill_cv,decode_cv
Qwen3_0.6B,6,256,48,308.26,0.14,74.25,0.02,0.42,0.08,0.12137991911937784,0.1904664730468815
Qwen3_0.6B,6,256,64,297.51,0.09,71.87,0.01,0.42,0.08,0.10083694665725522,0.13914011409489355
Qwen3_0.6B,6,320,32,298.66,0.3,71.64,0.03,0.42,0.08,0.18339334276607716,0.24177146950989356
Qwen3_0.6B,6,320,48,297.23,0.39,71.45,0.01,0.42,0.08,0.21010658407288624,0.13995801259622115
Qwen3_0.6B,6,320,64,290.23,0.06,69.19,0.03,0.42,0.08,0.08439822701937008,0.25033253469704836
Qwen3_0.6B,6,384,32,290.59,0.14,69.0,0.04,0.43,0.08,0.1287607070709227,0.2898550724637681
Qwen3_0.6B,6,384,48,289.39,0.19,68.4,0.04,0.42,0.07,0.15062368926157343,0.29239766081871343
Qwen3_0.6B,6,384,64,279.71,0.04,66.7,0.02,0.42,0.08,0.07150262772156878,0.2120260213452916
Qwen3_0.6B,6,448,32,279.95,0.06,66.04,0.03,0.42,0.08,0.08749740106387491,0.262272987215154
Qwen3_0.6B,6,448,48,278.02,0.31,65.93,0.01,0.42,0.08,0.20026488608121798,0.15167602002123462
Qwen3_0.6B,6,448,64,269.48,0.11,64.07,0.02,0.42,0.08,0.1230749885095517,0.2207294462889176
Qwen3_0.6B,6,512,32,269.49,0.08,63.67,0.04,0.42,0.08,0.10495480814672864,0.31411967959792686
Qwen3_0.6B,6,512,48,269.44,0.02,63.65,0.01,0.42,0.08,0.0524871423089777,0.15710919088766695
Qwen3_0.6B,6,512,64,322.58,0.33,38.84,0.0,1.53,0.12,0.17808179820627532,0.0
hunyuan_05B,6,256,48,332.59,0.36,38.62,0.0,1.49,0.1,0.18040229712258338,0.0
hunyuan_05B,6,256,64,323.97,0.08,38.03,0.04,1.5,0.1,0.087305217296237,0.5259006047856956
hunyuan_05B,6,320,32,324.3,0.22,38.02,0.02,1.51,0.1,0.14463199999455534,0.371965692365359
hunyuan_05B,6,320,48,323.09,0.28,38.01,0.02,1.49,0.1,0.16377797586211837,0.37206355232125626
hunyuan_05B,6,320,64,315.22,0.05,37.4,0.02,1.5,0.1,0.07093674187868122,0.3781319685489559
hunyuan_05B,6,384,32,316.31,0.2,37.37,0.01,1.49,0.11,0.1413845896430584,0.2675943270002676
hunyuan_05B,6,384,48,315.64,0.09,37.36,0.01,1.5,0.1,0.09504498796096819,0.2676659528907923
hunyuan_05B,6,384,64,306.12,0.54,36.74,0.01,1.49,0.11,0.24005191520807312,0.2721829069134458
hunyuan_05B,6,448,32,306.09,0.6,36.67,0.01,1.5,0.1,0.25306173649628655,0.2727024815925825
hunyuan_05B,6,448,48,305.47,0.67,36.51,0.0,1.49,0.1,0.26795930113832617,0.0
hunyuan_05B,6,448,64,295.89,0.12,35.83,0.01,1.5,0.1,0.11707396718840632,0.2790957298353336
hunyuan_05B,6,512,32,296.04,0.17,35.99,0.0,1.5,0.1,0.13927528798870625,0.0
hunyuan_05B,6,512,48,296.3,0.15,36.01,0.0,1.49,0.1,0.1307115540400748,0.0
hunyuan_05B,6,512,64,1127.26,0.91,83.97,0.17,0.72,0.02,0.08462459427434182,0.4910212725518234
SmolVLM2-256M,6,256,48,1127.85,0.25,84.37,0.08,0.7,0.03,0.04433213636565146,0.33524085868747067
SmolVLM2-256M,6,256,64,1087.6,0.81,82.66,0.12,0.7,0.03,0.08275101140125046,0.4190783468591525
SmolVLM2-256M,6,320,32,1085.88,1.25,82.46,0.08,0.7,0.03,0.10296109963807186,0.3430059574031276
SmolVLM2-256M,6,320,48,1085.85,1.81,82.24,0.05,0.71,0.03,0.12389947089444871,0.2718954252796437
SmolVLM2-256M,6,320,64,1056.07,1.13,81.22,0.06,0.82,0.03,0.10065758721235002,0.3015870158560919
SmolVLM2-256M,6,384,32,1052.99,0.19,81.88,0.1,0.7,0.03,0.041395444814676996,0.3862088007044919
SmolVLM2-256M,6,384,48,1050.7,0.29,81.95,0.04,0.71,0.03,0.05125311513404877,0.24405125076266015
SmolVLM2-256M,6,384,64,1002.99,1.62,80.76,0.25,0.71,0.03,0.12689979024075868,0.6191183754333829
SmolVLM2-256M,6,448,32,1001.58,1.88,80.77,0.09,0.7,0.03,0.1368967950718074,0.3714250340472948
SmolVLM2-256M,6,448,48,1005.6,0.47,80.8,0.04,0.7,0.03,0.06817476730709073,0.24752475247524752
SmolVLM2-256M,6,448,64,957.1,0.1,80.09,0.17,0.7,0.03,0.03304020123465029,0.5148090430288002
SmolVLM2-256M,6,512,32,960.57,0.62,79.83,0.02,0.7,0.03,0.08197224433421625,0.17715314573131594
SmolVLM2-256M,6,512,48,960.42,0.65,80.14,0.26,0.71,0.03,0.08394512555234741,0.63626397723893
